gemeente_id,Provincienaam,Gemeentenaam,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020
439,Noord-Holland,Purmerend,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Gelderland,Putten,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Overijssel,Raalte,0,0,0,0,0,0,0,0,0,0,0,0,0
703,Zeeland,Reimerswaal,0,0,0,0,0,0,0,0,0,0,0,0,0
274,Gelderland,Renkum,0,0,0,0,0,0,0,0,1,1,5,5,5
339,Utrecht,Renswoude,0,0,0,0,0,0,0,0,0,0,0,0,0
1667,Noord-Brabant,Reusel-De Mierden,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Gelderland,Rheden,0,0,0,0,0,0,0,0,0,0,0,0,1
340,Utrecht,Rhenen,0,0,0,0,0,0,0,0,0,0,0,0,0
597,Zuid-Holland,Ridderkerk,0,0,0,0,0,0,0,0,0,1,1,1,1
1742,Overijssel,Rijssen-Holten,0,0,0,0,0,0,0,0,0,0,0,0,0
603,Zuid-Holland,Rijswijk,0,0,0,0,0,0,0,0,0,0,0,0,0
1669,Limburg,Roerdalen,0,0,0,0,0,0,0,0,0,0,0,0,0
957,Limburg,Roermond,0,0,0,0,0,0,0,0,0,0,1,1,1
1674,Noord-Brabant,Roosendaal,0,0,0,0,0,0,0,0,0,0,0,0,0
599,Zuid-Holland,Rotterdam,0,0,0,0,0,1,3,5,9,11,14,14,15
277,Gelderland,Rozendaal,0,0,0,0,0,0,0,0,0,0,0,0,0
840,Noord-Brabant,Rucphen,0,0,0,0,0,0,0,0,0,0,0,0,0
441,Noord-Holland,Schagen,0,0,0,0,0,0,0,0,0,0,0,0,1
279,Gelderland,Scherpenzeel,0,0,0,0,0,0,0,0,0,0,0,0,0
606,Zuid-Holland,Schiedam,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Friesland,Schiermonnikoog,0,0,0,0,0,0,0,0,0,0,0,0,0
1676,Zeeland,Schouwen-Duiveland,0,0,0,0,0,0,0,0,0,1,1,1,2
965,Limburg,Simpelveld,0,0,0,0,0,0,0,0,2,2,2,2,2
1702,Noord-Brabant,Sint Anthonis,0,0,0,0,0,0,0,0,0,0,0,0,0
845,Noord-Brabant,Sint-Michielsgestel,0,0,0,0,0,0,0,1,2,3,5,5,5
1883,Limburg,Sittard-Geleen,0,0,0,0,0,0,0,2,5,4,7,8,13
610,Zuid-Holland,Sliedrecht,0,0,0,0,0,0,0,0,0,0,0,0,0
1714,Zeeland,Sluis,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Friesland,Smallingerland,0,0,0,0,0,0,0,0,0,0,0,0,0
342,Utrecht,Soest,0,0,0,0,0,0,0,4,6,7,7,7,8
847,Noord-Brabant,Someren,0,0,0,0,0,0,0,0,0,0,0,0,0
848,Noord-Brabant,Son en Breugel,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Groningen,Stadskanaal,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Overijssel,Staphorst,0,0,0,0,0,0,0,0,0,0,0,0,0
532,Noord-Holland,Stede Broec,0,0,0,0,0,0,0,0,0,0,0,0,0
851,Noord-Brabant,Steenbergen,0,0,0,0,0,0,0,0,0,0,0,0,0
1708,Overijssel,Steenwijkerland,0,0,0,0,0,0,0,0,0,0,0,0,0
971,Limburg,Stein,0,0,0,0,0,0,0,0,0,0,0,0,0
1904,Utrecht,Stichtse Vecht,0,0,0,0,0,0,0,2,3,4,5,5,5
1900,Friesland,Súdwest-Fryslân,0,0,0,0,0,0,0,0,0,0,0,0,0
715,Zeeland,Terneuzen,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Friesland,Terschelling,0,0,0,0,0,0,0,0,0,0,0,0,0
448,Noord-Holland,Texel,0,0,0,0,0,0,0,0,0,0,0,0,0
1525,Zuid-Holland,Teylingen,0,0,0,0,0,0,0,0,0,0,0,0,0
716,Zeeland,Tholen,0,0,0,0,0,0,0,0,0,0,0,0,0
281,Gelderland,Tiel,0,0,0,0,0,0,0,0,0,0,0,1,1
855,Noord-Brabant,Tilburg,1,1,3,4,4,2,3,3,4,10,12,27,29
183,Overijssel,Tubbergen,0,0,0,0,0,0,0,0,0,0,0,1,1
1700,Overijssel,Twenterand,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,Drenthe,Tynaarlo,0,0,0,0,0,0,0,0,0,0,0,0,0
737,Friesland,Tytsjerksteradiel,0,0,0,0,0,0,0,0,0,0,0,0,0
856,Noord-Brabant,Uden,0,0,0,0,0,0,0,0,2,6,7,12,13
450,Noord-Holland,Uitgeest,0,0,0,0,0,0,0,0,0,0,0,0,0
451,Noord-Holland,Uithoorn,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Flevoland,Urk,0,0,0,0,0,0,0,0,0,0,0,0,0
344,Utrecht,Utrecht,0,0,0,0,2,2,2,6,8,11,13,13,14
1581,Utrecht,Utrechtse Heuvelrug,0,0,0,0,0,0,0,0,1,1,2,2,2
981,Limburg,Vaals,0,0,0,0,0,0,0,0,0,0,0,0,0
994,Limburg,Valkenburg aan de Geul,0,0,0,0,0,0,0,0,0,0,0,0,0
858,Noord-Brabant,Valkenswaard,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Groningen,Veendam,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Utrecht,Veenendaal,0,0,0,0,0,0,0,0,0,0,0,0,0
717,Zeeland,Veere,0,0,0,0,0,0,0,0,0,0,0,0,0
861,Noord-Brabant,Veldhoven,0,0,0,0,0,0,0,0,0,0,0,1,1
453,Noord-Holland,Velsen,0,0,0,0,0,0,0,0,0,0,0,0,0
983,Limburg,Venlo,0,0,0,0,0,0,0,0,0,0,0,1,1
984,Limburg,Venray,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,Utrecht,Vijfheerenlanden,0,0,0,0,0,0,0,0,0,1,1,1,1
622,Zuid-Holland,Vlaardingen,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Friesland,Vlieland,0,0,0,0,0,0,0,0,0,0,0,0,0
718,Zeeland,Vlissingen,0,0,0,0,0,0,0,0,0,0,0,0,0
986,Limburg,Voerendaal,0,0,0,0,0,0,0,0,0,0,0,0,0
626,Zuid-Holland,Voorschoten,0,0,0,0,0,0,0,0,0,0,0,0,0
