,id,Gemeente,Indicator,Aantal
313,865,Vught,Aantal gevallen,1.0
314,1949,Waadhoeke,Aantal gevallen,
315,866,Waalre,Aantal gevallen,1.0
316,867,Waalwijk,Aantal gevallen,5.0
317,627,Waddinxveen,Aantal gevallen,
318,289,Wageningen,Aantal gevallen,
319,629,Wassenaar,Aantal gevallen,
320,852,Waterland,Aantal gevallen,1.0
321,988,Weert,Aantal gevallen,
322,457,Weesp,Aantal gevallen,
323,1960,West Betuwe,Aantal gevallen,2.0
324,668,West Maas en Waal,Aantal gevallen,1.0
325,1969,Westerkwartier,Aantal gevallen,
326,1701,Westerveld,Aantal gevallen,
327,293,Westervoort,Aantal gevallen,
328,1950,Westerwolde,Aantal gevallen,
329,1783,Westland,Aantal gevallen,
330,98,Weststellingwerf,Aantal gevallen,
331,614,Westvoorne,Aantal gevallen,1.0
332,189,Wierden,Aantal gevallen,
333,296,Wijchen,Aantal gevallen,1.0
334,1696,Wijdemeren,Aantal gevallen,
335,352,Wijk bij Duurstede,Aantal gevallen,1.0
336,294,Winterswijk,Aantal gevallen,
337,873,Woensdrecht,Aantal gevallen,
338,632,Woerden,Aantal gevallen,2.0
339,880,Wormerland,Aantal gevallen,
340,351,Woudenberg,Aantal gevallen,
341,479,Zaanstad,Aantal gevallen,2.0
342,297,Zaltbommel,Aantal gevallen,1.0
343,473,Zandvoort,Aantal gevallen,
344,50,Zeewolde,Aantal gevallen,1.0
345,355,Zeist,Aantal gevallen,1.0
346,299,Zevenaar,Aantal gevallen,
347,637,Zoetermeer,Aantal gevallen,
348,638,Zoeterwoude,Aantal gevallen,
349,1892,Zuidplas,Aantal gevallen,
350,879,Zundert,Aantal gevallen,1.0
351,301,Zutphen,Aantal gevallen,
352,1896,Zwartewaterland,Aantal gevallen,
353,642,Zwijndrecht,Aantal gevallen,
354,193,Zwolle,Aantal gevallen,1.0
